MTurkID,Algorithm,Query,Rating,Time Spent(s)
test,0g,Bestplacestovisitin2019,3,1
test,0g,MostpopularfoodsinAmerica,2,1
test,0g,Daylightsavingstime,1,0
test,0g,GlobalWarming,5,0
test,0g,Bestrestaurantsinsanfrancisco,4,0
test,0g,HowisAlmondmilkmade,3,0
test,0g,Whatisagoodcreditscore,2,1
test,0g,Top10easiestrecipes,1,0
test,0g,Lastminutehalloweencostumeideas,5,0
test,0g,Bestsmartphone2019,4,0
test,01gfp,HowcanIsendmoneytosomeone,3,0
test,01gfp,Bestplacestovisitin2019,2,0
test,01gfp,MostpopularfoodsinAmerica,1,0
test,01gfp,Daylightsavingstime,5,0
test,01gfp,GlobalWarming,4,0
test,01gfp,Bestrestaurantsinsanfrancisco,3,0
test,01gfp,HowisAlmondmilkmade,2,0
test,01gfp,Whatisagoodcreditscore,1,1
test,01gfp,Top10easiestrecipes,5,0
test,01gfp,Lastminutehalloweencostumeideas,4,0
test,05gfp,Bestsmartphone2019,3,0
test,05gfp,RecipeforMacandCheese,2,1
test,05gfp,Topnews,1,1
test,05gfp,Universityrankings2019,5,5
test,05gfp,Upcomingmarvelmovies,4,1
test,05gfp,Amazonprime,3,0
test,05gfp,Worldhealthorganization,2,0
test,05gfp,Billboardtop100,1,0
test,05gfp,Worldseries2019,1,11
test,05gfp,Mustseemovies,5,0
test,09gfp,Mustseemovies,4,0
test,09gfp,RecipeforMacandChese,3,1
test,09gfp,Topnews,2,1
test,09gfp,Universityrankings2019,1,1
test,09gfp,Upcomingmarvelmovies,5,0
test,09gfp,Amazonprime,4,0
test,09gfp,Worldhealthorganization,3,0
test,09gfp,Billboardtop100,2,0
test,09gfp,Worldseries2019,1,0
test,09gfp,Mustseemovies,5,0
